"","word1","word2","freq"
"884","life","death",7
"885","like","im",7
"886","like","just",7
"887","like","one",7
"888","like","us",7
"889","love","love",7
"890","loved","i",7
"891","made","decision",7
"892","makes","us",7
"893","many","ways",7
"894","maybe","just",7
"895","medium","heat",7
"896","men","women",7
"897","might","want",7
"898","might","well",7
"899","monday","morning",7
"900","month","ago",7
"901","morning","i",7
"902","much","love",7
"903","my","mother",7
"904","my","wife",7
"905","never","forget",7
"906","never","really",7
"907","new","followers",7
"908","next","season",7
"909","not","sure",7
"910","oh","god",7
"911","ohio","state",7
"912","one","big",7
"913","one","biggest",7
"914","one","night",7
"915","one","side",7
"916","pasty","pasty",7
"917","people","love",7
"918","people","need",7
"919","per","game",7
"920","plain","dealer",7
"921","pm","april",7
"922","point","guard",7
"923","post","i",7
"924","pretty","sure",7
"925","quite","lot",7
"926","really","wanted",7
"927","remember","i",7
"928","right","i",7
"929","room","i",7
"930","said","one",7
"931","school","districts",7
"932","school","year",7
"933","second","half",7
"934","see","the",7
"935","seemed","like",7
"936","she","just",7
"937","sometimes","i",7
"938","southern","california",7
"939","spending","time",7
"940","state","sen",7
"941","stay","home",7
"942","still","alive",7
"943","students","will",7
"944","sunday","night",7
"945","take","away",7
"946","taken","away",7
"947","tell","i",7
"948","tell","us",7
"949","thats","i",7
"950","the","answer",7
"951","the","challenge",7
"952","the","couple",7
"953","the","day",7
"954","the","fact",7
"955","the","film",7
"956","the","second",7
"957","the","time",7
"958","the","us",7
"959","there","lot",7
"960","there","one",7
"961","they","say",7
"962","they","will",7
"963","think","it’s",7
"964","thinking","i",7
"965","three","hours",7
"966","time","go",7
"967","time","im",7
"968","trying","find",7
"969","us","i",7
"970","walk","around",7
"971","walk","away",7
"972","wall","street",7
"973","want","know",7
"974","wanted","see",7
"975","we","made",7
"976","weeks","i",7
"977","well","known",7
"978","what","great",7
"979","what","think",7
"980","whole","world",7
"981","will","available",7
"982","will","bring",7
"983","will","happen",7
"984","win","game",7
"985","world","war",7
"986","wrong","i",7
"987","year","it",7
"988","you","just",7
"989","you’ve","got",7
"990","a","couple",6
"991","a","great",6
"992","—","i",6
"993","air","force",6
"994","also","known",6
"995","also","will",6
"996","amazon","eu",6
"997","amazon","services",6
"998","and","even",6
"999","and","will",6
"1000","and","yet",6
"1001","another","reason",6
"1002","anytime","soon",6
"1003","around","like",6
"1004","as","long",6
"1005","ask","questions",6
"1006","at","one",6
"1007","atlantic","city",6
"1008","attorney","general",6
"1009","back","school",6
"1010","bad","news",6
"1011","bake","minutes",6
"1012","baptist","church",6
"1013","barack","obamas",6
"1014","believe","god",6
"1015","black","white",6
"1016","board","education",6
"1017","board","members",6
"1018","bring","home",6
"1019","but","theres",6
"1020","came","i",6
"1021","can","buy",6
"1022","can","found",6
"1023","can","hear",6
"1024","can","just",6
"1025","can","really",6
"1026","can","work",6
"1027","cant","find",6
"1028","cant","help",6
"1029","cant","see",6
"1030","cell","phones",6
"1031","chief","executive",6
"1032","chris","christie",6
"1033","college","i",6
"1034","come","together",6
"1035","course","i",6
"1036","customer","service",6
"1037","didnt","even",6
"1038","didnt","like",6
"1039","didnt","really",6
"1040","didnt","seem",6
"1041","do","know",6
"1042","don’t","get",6
"1043","dont","time",6
"1044","event","will",6
"1045","february","th",6
"1046","federal","court",6
"1047","federal","law",6
"1048","federal","officials",6
"1049","feel","good",6
"1050","feel","i",6
"1051","film","festival",6
"1052","find","something",6
"1053","five","six",6
"1054","general","fund",6
"1055","general","motors",6
"1056","get","free",6
"1057","get","home",6
"1058","get","started",6
"1059","getting","ready",6
"1060","gift","card",6
"1061","go","ahead",6
"1062","go","way",6
"1063","going","go",6
"1064","good","friend",6
"1065","good","way",6
"1066","got","job",6
"1067","got","little",6
"1068","got","new",6
"1069","grand","prix",6
"1070","great","way",6
"1071","happy","hour",6
"1072","he","says",6
"1073","hope","great",6
"1074","hours","i",6
"1075","how","i",6
"1076","how","much",6
"1077","i","checked",6
"1078","i","created",6
"1079","i","cut",6
"1080","i","definitely",6
"1081","i","follow",6
"1082","i","glad",6
"1083","i","good",6
"1084","i","grew",6
"1085","i","hit",6
"1086","i","hoping",6
"1087","i","kind",6
"1088","i","last",6
"1089","i","little",6
"1090","i","moved",6
"1091","i","picked",6
"1092","i","played",6
"1093","i","probably",6
"1094","i","swear",6
"1095","i","tell",6
"1096","i","usually",6
"1097","i","walked",6
"1098","i","wanna",6
"1099","i","wear",6
"1100","if","like",6
"1101","if","want",6
"1102","im","little",6
"1103","im","pretty",6
"1104","im","sorry",6
"1105","im","taking",6
"1106","im","thankful",6
"1107","im","thinking",6
"1108","in","case",6
"1109","in","order",6
"1110","instead","i",6
"1111","it","always",6
"1112","it","hard",6
"1113","it’s","like",6
"1114","it’s","time",6
"1115","it’s","worth",6
"1116","its","bad",6
"1117","its","great",6
"1118","its","sad",6
"1119","just","enough",6
"1120","just","go",6
"1121","just","say",6
"1122","keep","mind",6
"1123","know","many",6
"1124","know","much",6
"1125","know","people",6
"1126","know","will",6
"1127","last","weekend",6
"1128","least","two",6
"1129","like","much",6
"1130","like","people",6
"1131","live","music",6
"1132","love","life",6
"1133","love","new",6
"1134","make","great",6
"1135","makes","feel",6
"1136","many","others",6
"1137","many","us",6
"1138","may","even",6
"1139","may","just",6
"1140","merry","christmas",6
"1141","might","make",6
"1142","minutes","i",6
"1143","movie","i",6
"1144","much","fun",6
"1145","must","make",6
"1146","my","favorite",6
"1147","my","heart",6
"1148","national","park",6
"1149","need","make",6
"1150","need","take",6
"1151","never","know",6
"1152","never","thought",6
"1153","new","book",6
"1154","new","things",6
"1155","news","conference",6
"1156","news","world",6
"1157","next","door",6
"1158","no","i",6
"1159","north","america",6
"1160","north","carolina",6
"1161","not","good",6
"1162","not","really",6
"1163","now","but",6
"1164","now","i’m",6
"1165","now","time",6
"1166","obama","administration",6
"1167","ok","i",6
"1168","one","reason",6
"1169","one","will",6
"1170","opening","day",6
"1171","oregon","state",6
"1172","patterned","paper",6
"1173","people","get",6
"1174","people","like",6
"1175","people","really",6
"1176","people","want",6
"1177","per","cent",6
"1178","phone","call",6
"1179","please","let",6
"1180","pm","may",6
"1181","pm","monday",6
"1182","pm","pm",6
"1183","pm","wednesday",6
"1184","police","officer",6
"1185","program","will",6
"1186","public","health",6
"1187","really","care",6
"1188","really","i",6
"1189","really","just",6
"1190","really","like",6
"1191","really","look",6
"1192","rt","rt",6
"1193","run","away",6
"1194","running","around",6
"1195","said","and",6
"1196","said","interview",6
"1197","said","today",6
"1198","said","wanted",6
"1199","said","weve",6
"1200","said","will",6
"1201","said","you",6
"1202","says","i",6
"1203","second","consecutive",6
"1204","seconds","left",6
"1205","see","things",6
"1206","seriously","i",6
"1207","services","llc",6
"1208","set","aside",6
"1209","sheriffs","department",6
"1210","short","time",6
"1211","since","im",6
"1212","small","amounts",6
"1213","so","glad",6
"1214","something","new",6
"1215","somewhere","else",6
"1216","soon","i",6
"1217","spending","money",6
"1218","square","foot",6
"1219","star","wars",6
"1220","started","playing",6
"1221","still","believe",6
"1222","still","havent",6
"1223","sure","will",6
"1224","take","long",6
"1225","take","look",6
"1226","task","force",6
"1227","tax","rate",6
"1228","ten","years",6
"1229","thank","much",6
"1230","thanks","following",6
"1231","thanks","mention",6
"1232","the","avengers",6
"1233","the","band",6
"1234","the","biggest",6
"1235","the","case",6
"1236","the","court",6
"1237","the","great",6
"1238","the","loss",6
"1239","the","one",6
"1240","the","problem",6
"1241","the","proposal",6
"1242","the","question",6
"1243","the","result",6
"1244","the","show",6
"1245","the","world",6
"1246","there","several",6
"1247","they","can",6
"1248","theyre","going",6
"1249","things","life",6
"1250","think","can",6
"1251","this","first",6
"1252","this","will",6
"1253","thought","id",6
"1254","three","points",6
